Gene stable ID,Gene name,NCBI gene ID,Gene stable ID,Gene name
ENSG00000164023,SGMS2,166929,ENSDARG00000052520,sgms2a
ENSG00000158486,DNAH3,55567,ENSDARG00000068468,dnah3
ENSG00000141564,RPTOR,57521,ENSDARG00000098726,rptor
ENSG00000120093,HOXB3,3213,ENSDARG00000029263,hoxb3a
ENSG00000135220,UGT2A3,79799,ENSDARG00000061439,ugt5c3
ENSG00000119333,WDR34,89891,ENSDARG00000057635,wdr34
ENSG00000143457,GOLPH3L,55204,ENSDARG00000036943,golph3l
ENSG00000162676,GFI1,2672,ENSDARG00000044457,gfi1ab
ENSG00000185013,NT5C1B,93034,ENSDARG00000018153,nt5c1ba
ENSG00000155858,LSM11,134353,ENSDARG00000090854,lsm11
ENSG00000249624,AP000295.1,,ENSDARG00000075181,crfb16
ENSG00000165898,ISCA2,122961,ENSDARG00000038154,isca2
ENSG00000170017,ALCAM,214,ENSDARG00000058538,alcamb
ENSG00000164885,CDK5,1020,ENSDARG00000056683,cdk5
ENSG00000166813,KIF7,374654,ENSDARG00000033099,kif7
ENSG00000182511,FES,2242,ENSDARG00000011449,fes
ENSG00000101327,PDYN,5173,ENSDARG00000087798,pdyn
ENSG00000130643,CALY,50632,ENSDARG00000036008,caly
ENSG00000160323,ADAMTS13,11093,ENSDARG00000076270,adamts13
ENSG00000197893,NRAP,4892,ENSDARG00000009341,nrap
ENSG00000143376,SNX27,81609,ENSDARG00000016977,snx27b
ENSG00000198176,TFDP1,7027,ENSDARG00000019293,tfdp1a
ENSG00000254996,ANKHD1-EIF4EBP3,404734,ENSDARG00000077860,ankhd1
ENSG00000154997,SEPTIN14,346288,ENSDARG00000100858,zgc:171695
ENSG00000116871,MAP7D1,55700,ENSDARG00000101490,si:ch73-281i18.6
ENSG00000143858,SYT2,127833,ENSDARG00000025206,syt2a
ENSG00000242515,UGT1A10,54575,ENSDARG00000061439,ugt5c3
ENSG00000141562,NARF,26502,ENSDARG00000024184,narf
ENSG00000183662,TAFA1,407738,ENSDARG00000062357,tafa1a
ENSG00000164076,CAMKV,79012,ENSDARG00000027963,camkva
ENSG00000099795,NDUFB7,4713,ENSDARG00000033789,ndufb7
ENSG00000132466,ANKRD17,26057,ENSDARG00000077860,ankhd1
ENSG00000198848,CES1,1066,ENSDARG00000062376,nlgn3b
ENSG00000130876,SLC7A10,56301,ENSDARG00000008100,slc7a10a
ENSG00000169508,GPR183,1880,ENSDARG00000074302,gpr183b
ENSG00000213759,UGT2B11,10720,ENSDARG00000061439,ugt5c3
ENSG00000113594,LIFR,3977,ENSDARG00000100738,osmr
ENSG00000163328,GPR155,151556,ENSDARG00000090804,gpr155a
ENSG00000105697,HAMP,57817,ENSDARG00000102175,hamp
ENSG00000029364,SLC39A9,55334,ENSDARG00000070447,slc39a9
ENSG00000174080,CTSF,8722,ENSDARG00000099200,zgc:123103
ENSG00000159398,CES5A,221223,ENSDARG00000062376,nlgn3b
ENSG00000277363,SRCIN1,80725,ENSDARG00000059773,SRCIN1
ENSG00000159713,TPPP3,51673,ENSDARG00000030463,tppp3
ENSG00000177427,MIEF2,125170,ENSDARG00000002377,mief2
ENSG00000243135,UGT1A3,54659,ENSDARG00000061439,ugt5c3
ENSG00000170190,SLC16A5,9121,ENSDARG00000030472,slc16a5a
ENSG00000197888,UGT2B17,7367,ENSDARG00000061439,ugt5c3
ENSG00000111012,CYP27B1,1594,ENSDARG00000045015,cyp27b1
ENSG00000068394,GPKOW,27238,ENSDARG00000029612,gpkow
ENSG00000101181,MTG2,26164,ENSDARG00000063574,mtg2
ENSG00000168734,PKIG,11142,ENSDARG00000086471,pkig
ENSG00000101365,IDH3B,3420,ENSDARG00000044753,idh3b
ENSG00000167165,UGT1A6,54578,ENSDARG00000061439,ugt5c3
ENSG00000182853,VMO1,284013,ENSDARG00000043002,vmo1a
ENSG00000154359,LONRF1,91694,ENSDARG00000078567,lonrf1l
ENSG00000242366,UGT1A8,54576,ENSDARG00000061439,ugt5c3
ENSG00000176720,BOK,666,ENSDARG00000052129,boka
ENSG00000123570,RAB9B,51209,ENSDARG00000103391,rab9b
ENSG00000131503,ANKHD1,54882,ENSDARG00000077860,ankhd1
ENSG00000196620,UGT2B15,7366,ENSDARG00000061439,ugt5c3
ENSG00000187664,HAPLN4,404037,ENSDARG00000018542,hapln4
ENSG00000136816,TOR1B,27348,ENSDARG00000077950,tor1
ENSG00000008324,SS18L2,51188,ENSDARG00000101085,ss18l2
ENSG00000109181,UGT2B10,7365,ENSDARG00000061439,ugt5c3
ENSG00000187736,NHEJ1,79840,ENSDARG00000058893,nhej1
ENSG00000166073,GPR176,11245,ENSDARG00000042515,gpr176
ENSG00000271271,UGT2A2,574537,ENSDARG00000061439,ugt5c3
ENSG00000060069,CTDP1,9150,ENSDARG00000017522,ctdp1
ENSG00000175711,B3GNTL1,146712,ENSDARG00000043431,b3gntl1
ENSG00000077943,ITGA8,8516,ENSDARG00000078717,itga8
ENSG00000182197,EXT1,2131,ENSDARG00000103155,ext1a
ENSG00000072736,NFATC3,4775,ENSDARG00000051729,nfatc3b
ENSG00000105605,CACNG7,59284,ENSDARG00000063006,cacng7a
ENSG00000182162,P2RY8,286530,ENSDARG00000055560,p2ry8
ENSG00000137207,YIPF3,25844,ENSDARG00000020449,yipf3
ENSG00000010295,IFFO1,25900,ENSDARG00000062108,iffo1b
ENSG00000146938,NLGN4X,57502,ENSDARG00000079455,nlgn4xa
ENSG00000204516,MICB,4277,ENSDARG00000036588,mhc1zba
ENSG00000130202,NECTIN2,5819,ENSDARG00000063390,pvrl2l
ENSG00000106927,AMBP,259,ENSDARG00000004296,ambp
ENSG00000111981,ULBP1,80329,ENSDARG00000036588,mhc1zba
ENSG00000165246,NLGN4Y,22829,ENSDARG00000079455,nlgn4xa
ENSG00000168874,ATOH8,84913,ENSDARG00000037555,atoh8
ENSG00000272636,DOC2B,8447,ENSDARG00000088293,doc2b
ENSG00000166833,NAV2,89797,ENSDARG00000073688,nav2a
ENSG00000122194,PLG,5340,ENSDARG00000023111,plg
ENSG00000166928,MS4A14,84689,ENSDARG00000014024,ms4a17a.4
ENSG00000164520,RAET1E,135250,ENSDARG00000036588,mhc1zba
ENSG00000233927,RPS28,6234,ENSDARG00000035860,rps28
ENSG00000166961,MS4A15,219995,ENSDARG00000014024,ms4a17a.4
ENSG00000166930,MS4A5,64232,ENSDARG00000014024,ms4a17a.4
ENSG00000198874,TYW1,55253,ENSDARG00000062987,tyw1
ENSG00000087302,RTRAF,51637,ENSDARG00000009253,rtraf
ENSG00000121486,TRMT1L,81627,ENSDARG00000042057,trmt1l
ENSG00000139370,SLC15A4,121260,ENSDARG00000102612,slc15a4
ENSG00000163638,ADAMTS9,56999,ENSDARG00000077778,adamts9
ENSG00000275395,FCGBP,8857,ENSDARG00000076830,si:dkey-65b12.6
ENSG00000033327,GAB2,9846,ENSDARG00000105120,gab2
ENSG00000036549,AC118549.1,26009,ENSDARG00000077581,zzz3
ENSG00000062038,CDH3,1001,ENSDARG00000104332,cdh28
ENSG00000198113,TOR4A,54863,ENSDARG00000091169,tor4ab
ENSG00000155918,RAET1L,154064,ENSDARG00000036588,mhc1zba
ENSG00000073008,PVR,5817,ENSDARG00000063390,pvrl2l
ENSG00000123933,MXD4,10608,ENSDARG00000054031,mxd4
ENSG00000203722,RAET1G,353091,ENSDARG00000036588,mhc1zba
ENSG00000130021,PUDP,8226,ENSDARG00000027826,pudp
ENSG00000204520,MICA,100507436,ENSDARG00000036588,mhc1zba
ENSG00000250479,CHCHD10,400916,ENSDARG00000010717,chchd10
ENSG00000236444,UBE2L5,171222,ENSDARG00000027141,ube2l3b
ENSG00000089472,HEPH,9843,ENSDARG00000026403,hephl1b
ENSG00000168546,GFRA2,2675,ENSDARG00000044015,gfra2b
ENSG00000166595,CIAO2B,51647,ENSDARG00000052010,ciao2b
ENSG00000185651,UBE2L3,7332,ENSDARG00000027141,ube2l3b
ENSG00000159685,CHCHD6,84303,ENSDARG00000003206,chchd6a
ENSG00000101474,APMAP,57136,ENSDARG00000017422,apmap
ENSG00000156738,MS4A1,931,ENSDARG00000014024,ms4a17a.4
ENSG00000150275,PCDH15,65217,ENSDARG00000098257,pcdh15a
ENSG00000158716,DUSP23,54935,ENSDARG00000009844,dusp23a
ENSG00000187144,SPATA21,374955,ENSDARG00000042937,si:dkey-256e7.5
ENSG00000143862,ARL8A,127829,ENSDARG00000078686,arl8a
ENSG00000147443,DOK2,9046,ENSDARG00000075818,dok2
ENSG00000166926,MS4A6E,245802,ENSDARG00000014024,ms4a17a.4
ENSG00000138617,PARP16,54956,ENSDARG00000018593,parp16
ENSG00000118194,TNNT2,7139,ENSDARG00000100694,tnnt2b
ENSG00000183248,PRR36,80164,ENSDARG00000069595,si:ch211-214c7.4
ENSG00000131019,ULBP3,79465,ENSDARG00000036588,mhc1zba
ENSG00000169836,TACR3,6870,ENSDARG00000075112,tacr3a
ENSG00000133997,MED6,10001,ENSDARG00000034734,med6
ENSG00000127954,STEAP4,79689,ENSDARG00000055901,steap4
ENSG00000166927,MS4A7,58475,ENSDARG00000014024,ms4a17a.4
ENSG00000162639,HENMT1,113802,ENSDARG00000018871,henmt1
ENSG00000135503,ACVR1B,91,ENSDARG00000052142,acvr1bb
ENSG00000259753,AC068234.1,,ENSDARG00000045070,itgb3b
ENSG00000184451,CCR10,2826,ENSDARG00000040643,ccr10
ENSG00000204475,NCR3,259197,ENSDARG00000063390,pvrl2l
ENSG00000181929,PRKAG1,5571,ENSDARG00000003818,prkag1
ENSG00000103274,NUBP1,4682,ENSDARG00000055472,nubp1
ENSG00000285991,AL355312.6,,ENSDARG00000036588,mhc1zba
ENSG00000160862,AZGP1,563,ENSDARG00000036588,mhc1zba
ENSG00000124491,F13A1,2162,ENSDARG00000036893,f13a1b
ENSG00000168710,AHCYL1,10768,ENSDARG00000056331,ahcyl1
ENSG00000152217,SETBP1,26040,ENSDARG00000093799,setbp1
ENSG00000101057,MYBL2,4605,ENSDARG00000032264,mybl2b
ENSG00000277149,TYW1B,441250,ENSDARG00000062987,tyw1
ENSG00000136861,CDK5RAP2,55755,ENSDARG00000024219,cdk5rap2
ENSG00000110077,MS4A6A,64231,ENSDARG00000014024,ms4a17a.4
ENSG00000165782,PIP4P1,90809,ENSDARG00000038615,pip4p1a
ENSG00000181790,ADGRB1,575,ENSDARG00000078529,adgrb1b
ENSG00000107863,ARHGAP21,57584,ENSDARG00000075673,arhgap21b
ENSG00000018625,ATP1A2,477,ENSDARG00000010472,atp1a2a
ENSG00000181847,TIGIT,201633,ENSDARG00000063390,pvrl2l
ENSG00000167895,TMC8,147138,ENSDARG00000101050,tmc8
ENSG00000155085,AK9,221264,ENSDARG00000021913,ak9
ENSG00000170209,ANKK1,255239,ENSDARG00000056921,ankk1
ENSG00000134363,FST,10468,ENSDARG00000052846,fsta
ENSG00000113384,GOLPH3,64083,ENSDARG00000052851,golph3
ENSG00000147654,EBAG9,9166,ENSDARG00000040021,ebag9
ENSG00000118004,COLEC11,78989,ENSDARG00000013266,colec11
ENSG00000149091,DGKZ,8525,ENSDARG00000076025,dgkzb
ENSG00000125457,MIF4GD,57409,ENSDARG00000102080,mif4gda
ENSG00000167733,HSD11B1L,374875,ENSDARG00000071377,hsd11b1la
ENSG00000139626,ITGB7,3695,ENSDARG00000044318,itgb7
ENSG00000110721,CHKA,1119,ENSDARG00000041078,chka
ENSG00000068784,SRBD1,55133,ENSDARG00000092855,SRBD1
ENSG00000170545,SMAGP,57228,ENSDARG00000063390,pvrl2l
ENSG00000128989,ARPP19,10776,ENSDARG00000039880,arpp19b
ENSG00000177519,RPRM,56475,ENSDARG00000053383,rprma
ENSG00000069966,GNB5,10681,ENSDARG00000099685,gnb5a
ENSG00000090470,PDCD7,10081,ENSDARG00000038976,pdcd7
ENSG00000214782,MS4A18,728588,ENSDARG00000014024,ms4a17a.4
ENSG00000131015,ULBP2,80328,ENSDARG00000036588,mhc1zba
ENSG00000164542,KIAA0895,23366,ENSDARG00000057227,si:dkey-222b8.4
ENSG00000149534,MS4A2,2206,ENSDARG00000014024,ms4a17a.4
ENSG00000186867,QRFPR,84109,ENSDARG00000039349,qrfpra
ENSG00000149516,MS4A3,932,ENSDARG00000014024,ms4a17a.4
ENSG00000172689,MS4A10,341116,ENSDARG00000014024,ms4a17a.4
ENSG00000165370,GPR101,83550,ENSDARG00000039218,gpr101
ENSG00000142621,FHAD1,114827,ENSDARG00000094473,si:dkey-163f12.6
ENSG00000142669,SH3BGRL3,83442,ENSDARG00000098075,sh3bgrl3
ENSG00000204979,MS4A13,503497,ENSDARG00000014024,ms4a17a.4
ENSG00000259207,ITGB3,3690,ENSDARG00000045070,itgb3b
ENSG00000155792,DEPTOR,64798,ENSDARG00000040930,deptor
ENSG00000131943,C19orf12,83636,ENSDARG00000102929,C7H7H18H7H19orf12
ENSG00000010704,HFE,3077,ENSDARG00000036588,mhc1zba
ENSG00000114779,ABHD14B,84836,ENSDARG00000100531,abhd14b
ENSG00000175287,PHYHD1,254295,ENSDARG00000029905,phyhd1
ENSG00000154096,THY1,7070,ENSDARG00000035018,thy1
ENSG00000177674,AGTRAP,57085,ENSDARG00000077082,agtrap
ENSG00000188467,SLC24A5,283652,ENSDARG00000024771,slc24a5
ENSG00000141738,GRB7,2886,ENSDARG00000042726,grb7
ENSG00000122406,RPL5,6125,ENSDARG00000020197,rpl5a
ENSG00000069696,DRD4,1815,ENSDARG00000038363,drd4a
ENSG00000154429,CCSAP,126731,ENSDARG00000025325,ccsapa
ENSG00000153086,ACMSD,130013,ENSDARG00000062549,acmsd
ENSG00000176490,DIRAS1,148252,ENSDARG00000009372,diras1b
ENSG00000115386,REG1A,5967,ENSDARG00000094370,si:ch211-125e6.13
ENSG00000115386,REG1A,5967,ENSDARG00000038321,zgc:172053
ENSG00000090674,MCOLN1,57192,ENSDARG00000002285,mcoln1a
ENSG00000110400,NECTIN1,5818,ENSDARG00000086034,nectin1b
ENSG00000067221,STOML1,9399,ENSDARG00000062142,stoml1
ENSG00000058673,ZC3H11A,9877,ENSDARG00000009754,zc3h11a
ENSG00000242515,UGT1A10,54575,ENSDARG00000091624,ugt2a7
ENSG00000204152,TIMM23B,100652748,ENSDARG00000071396,timm23a
ENSG00000101082,SLA2,84174,ENSDARG00000020788,sla2
ENSG00000215817,ZC3H11B,643136,ENSDARG00000009754,zc3h11a
ENSG00000116871,MAP7D1,55700,ENSDARG00000103395,si:ch73-281i18.7
ENSG00000184922,FMNL1,752,ENSDARG00000055713,fmnl1a
ENSG00000103121,CMC2,56942,ENSDARG00000043635,cmc2
ENSG00000115592,PRKAG3,53632,ENSDARG00000017537,prkag3a
ENSG00000054118,THRAP3,9967,ENSDARG00000098228,thrap3b
ENSG00000124160,NCOA5,57727,ENSDARG00000016345,ncoa5
ENSG00000106682,EIF4H,7458,ENSDARG00000042252,eif4h
ENSG00000137558,PI15,51050,ENSDARG00000045378,pi15a
ENSG00000188937,NYX,60506,ENSDARG00000061791,nyx
ENSG00000135220,UGT2A3,79799,ENSDARG00000091624,ugt2a7
ENSG00000166928,MS4A14,84689,ENSDARG00000093546,si:ch73-56d11.5
ENSG00000159173,TNNI1,7135,ENSDARG00000000474,tnni1a
ENSG00000189306,RRP7A,27341,ENSDARG00000098934,rrp7a
ENSG00000166961,MS4A15,219995,ENSDARG00000093546,si:ch73-56d11.5
ENSG00000160014,CALM3,808,ENSDARG00000021811,calm1a
ENSG00000180530,NRIP1,8204,ENSDARG00000068894,nrip1b
ENSG00000166912,MTMR10,54893,ENSDARG00000010601,mtmr10
ENSG00000162755,KLHDC9,126823,ENSDARG00000058127,hcfc2
ENSG00000005486,RHBDD2,57414,ENSDARG00000092463,rhbdd2
ENSG00000188672,RHCE,6006,ENSDARG00000002194,rhd
ENSG00000103932,RPAP1,26015,ENSDARG00000075072,rpap1
ENSG00000157827,FMNL2,114793,ENSDARG00000012586,fmnl2a
ENSG00000172016,REG3A,5068,ENSDARG00000094370,si:ch211-125e6.13
ENSG00000172016,REG3A,5068,ENSDARG00000038321,zgc:172053
ENSG00000124659,TBCC,6903,ENSDARG00000022918,tbcc
ENSG00000106018,VIPR2,7434,ENSDARG00000012353,vipr2
ENSG00000135587,SMPD2,6610,ENSDARG00000052701,smpd2b
ENSG00000143624,INTS3,65123,ENSDARG00000016811,ints3
ENSG00000140950,MEAK7,57707,ENSDARG00000062951,meak7
ENSG00000142949,PTPRF,5792,ENSDARG00000005754,ptprfb
ENSG00000115504,EHBP1,23301,ENSDARG00000043643,ehbp1
ENSG00000133107,TRPC4,7223,ENSDARG00000070507,trpc4a
ENSG00000091536,MYO15A,51168,ENSDARG00000078474,myo15ab
ENSG00000167165,UGT1A6,54578,ENSDARG00000091624,ugt2a7
ENSG00000161618,ALDH16A1,126133,ENSDARG00000037935,aldh16a1
ENSG00000196620,UGT2B15,7366,ENSDARG00000091624,ugt2a7
ENSG00000003509,NDUFAF7,55471,ENSDARG00000033134,ndufaf7
ENSG00000164022,AIMP1,9255,ENSDARG00000060036,aimp1a
ENSG00000133636,NTS,4922,ENSDARG00000057887,nts
ENSG00000223572,CKMT1A,548596,ENSDARG00000016598,ckmt1
ENSG00000164136,IL15,3600,ENSDARG00000052361,il15
ENSG00000166439,RNF169,254225,ENSDARG00000042825,rnf169
ENSG00000109181,UGT2B10,7365,ENSDARG00000091624,ugt2a7
ENSG00000271271,UGT2A2,574537,ENSDARG00000091624,ugt2a7
ENSG00000151025,GPR158,57512,ENSDARG00000079665,gpr158b
ENSG00000132669,RIN2,54453,ENSDARG00000077040,RIN2
ENSG00000100911,PSME2,5721,ENSDARG00000033144,psme2
ENSG00000118197,DDX59,83479,ENSDARG00000022177,ddx59
ENSG00000198910,L1CAM,3897,ENSDARG00000007149,l1cama
ENSG00000205423,CNEP1R1,255919,ENSDARG00000036064,cnep1r1
ENSG00000124089,MC3R,4159,ENSDARG00000021369,mc3r
ENSG00000101825,MXRA5,25878,ENSDARG00000074815,mxra5a
ENSG00000156738,MS4A1,931,ENSDARG00000093546,si:ch73-56d11.5
ENSG00000010671,BTK,695,ENSDARG00000004433,btk
ENSG00000106714,CNTNAP3,79937,ENSDARG00000067824,cntnap3
ENSG00000066117,SMARCD1,6602,ENSDARG00000019004,smarcd1
ENSG00000119772,DNMT3A,1788,ENSDARG00000015566,dnmt3ab
ENSG00000162733,DDR2,4921,ENSDARG00000058695,ddr2b
ENSG00000197888,UGT2B17,7367,ENSDARG00000091624,ugt2a7
ENSG00000119314,PTBP3,9991,ENSDARG00000043757,ptbp3
ENSG00000006695,COX10,1352,ENSDARG00000034309,cox10
ENSG00000105723,GSK3A,2931,ENSDARG00000015681,gsk3ab
ENSG00000243135,UGT1A3,54659,ENSDARG00000091624,ugt2a7
ENSG00000166927,MS4A7,58475,ENSDARG00000093546,si:ch73-56d11.5
ENSG00000161509,GRIN2C,2905,ENSDARG00000077560,grin2cb
ENSG00000166482,MFAP4,4239,ENSDARG00000093877,si:zfos-2330d3.7
ENSG00000183087,GAS6,2621,ENSDARG00000007804,gas6
ENSG00000086544,ITPKC,80271,ENSDARG00000002994,itpkca
ENSG00000100220,RTCB,51493,ENSDARG00000101047,rtcb
ENSG00000168887,C2orf68,388969,ENSDARG00000059459,si:ch211-283h6.4
ENSG00000158526,TSR2,90121,ENSDARG00000005772,tsr2
ENSG00000126882,FAM78A,286336,ENSDARG00000101217,fam78aa
ENSG00000159346,ADIPOR1,51094,ENSDARG00000002912,adipor1a
ENSG00000240224,UGT1A5,54579,ENSDARG00000091624,ugt2a7
ENSG00000173801,JUP,3728,ENSDARG00000070787,jupa
ENSG00000104415,CCN4,8840,ENSDARG00000054331,ccn4a
ENSG00000138757,G3BP2,9908,ENSDARG00000014790,g3bp2
ENSG00000110077,MS4A6A,64231,ENSDARG00000093546,si:ch73-56d11.5
ENSG00000154529,CNTNAP3B,728577,ENSDARG00000067824,cntnap3
ENSG00000187010,RHD,6007,ENSDARG00000002194,rhd
ENSG00000097033,SH3GLB1,51100,ENSDARG00000010956,sh3glb1b
ENSG00000143768,LEFTY2,7044,ENSDARG00000044059,lft2
ENSG00000235718,MFRP,83552,ENSDARG00000087814,mfrp
ENSG00000179562,GCC1,79571,ENSDARG00000045541,gcc1
ENSG00000136045,PWP1,11137,ENSDARG00000015921,pwp1
ENSG00000269897,COMMD3-BMI1,100532731,ENSDARG00000013076,bmi1b
ENSG00000115760,BIRC6,57448,ENSDARG00000074166,birc6
ENSG00000166897,ELFN2,114794,ENSDARG00000077609,elfn2a
ENSG00000221878,PSG7,5676,ENSDARG00000076981,zgc:198329
ENSG00000165816,VWA2,340706,ENSDARG00000075441,vwa2
ENSG00000071626,DAZAP1,26528,ENSDARG00000070846,dazap1
ENSG00000127337,YEATS4,8089,ENSDARG00000045874,yeats4
ENSG00000241119,UGT1A9,54600,ENSDARG00000091624,ugt2a7
ENSG00000139131,YARS2,51067,ENSDARG00000077299,yars2
ENSG00000110651,CD81,975,ENSDARG00000036080,cd81a
ENSG00000237289,CKMT1B,1159,ENSDARG00000016598,ckmt1
ENSG00000159214,CCDC24,149473,ENSDARG00000038793,ccdc24
ENSG00000143353,LYPLAL1,127018,ENSDARG00000088764,lyplal1
ENSG00000102898,NUTF2,10204,ENSDARG00000056531,nutf2
ENSG00000249139,EPPIN-WFDC6,100526773,ENSDARG00000012467,spint1b
ENSG00000228474,OST4,100128731,ENSDARG00000096118,ost4
ENSG00000243709,LEFTY1,10637,ENSDARG00000044059,lft2
ENSG00000204979,MS4A13,503497,ENSDARG00000093546,si:ch73-56d11.5
ENSG00000048544,MRPS10,55173,ENSDARG00000045913,mrps10
ENSG00000166377,ATP9B,374868,ENSDARG00000062521,atp9b
ENSG00000149516,MS4A3,932,ENSDARG00000093546,si:ch73-56d11.5
ENSG00000196712,NF1,4763,ENSDARG00000004184,nf1b
ENSG00000157064,NMNAT2,23057,ENSDARG00000004580,nmnat2
ENSG00000120256,LRP11,84918,ENSDARG00000012467,spint1b
ENSG00000166145,SPINT1,6692,ENSDARG00000012467,spint1b
ENSG00000132031,MATN3,4148,ENSDARG00000069245,matn3a
ENSG00000178597,PSAPL1,768239,ENSDARG00000067566,sftpbb
ENSG00000108100,CCNY,219771,ENSDARG00000063677,ccny
ENSG00000099337,KCNK6,9424,ENSDARG00000007383,kcnk6
ENSG00000086289,EPDR1,54749,ENSDARG00000103498,epd
ENSG00000122176,FMOD,2331,ENSDARG00000044895,fmoda
ENSG00000128242,GAL3ST1,9514,ENSDARG00000078245,gal3st1b
ENSG00000158856,DMTN,2039,ENSDARG00000013110,dmtn
ENSG00000089289,IGBP1,3476,ENSDARG00000002184,igbp1
ENSG00000165507,DEPP1,11067,ENSDARG00000073704,si:dkeyp-72g9.4
ENSG00000169598,DFFB,1677,ENSDARG00000009748,dffb
ENSG00000144191,CNGA3,1261,ENSDARG00000012297,cnga3b
ENSG00000070501,POLB,5423,ENSDARG00000003749,polb
ENSG00000196735,HLA-DQA1,3117,ENSDARG00000101675,zgc:123107
ENSG00000074842,MYDGF,56005,ENSDARG00000071679,mydgf
ENSG00000145626,UGT3A1,133688,ENSDARG00000091624,ugt2a7
ENSG00000136732,GYPC,2995,ENSDARG00000041546,gypc
ENSG00000144848,ATG3,64422,ENSDARG00000009350,atg3
